"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","224","test_guest_can_go_to_login_page[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:55 UTC 2025","passed","Sat Jun 28 20:44:55 UTC 2025","TestMainPage","test_main_page","",""
"","29","test_guest_should_see_basket_link[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:00 UTC 2025","passed","Sat Jun 28 20:45:00 UTC 2025","TestMainPage","test_main_page","",""
"","1005","test_guest_can_add_promo_offer_product_to_basket[4-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:26 UTC 2025","passed","Sat Jun 28 20:46:27 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","848","test_guest_can_add_promo_offer_product_to_basket[8-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:45 UTC 2025","passed","Sat Jun 28 20:46:45 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10288","test_guest_cant_see_success_message[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:47:39 UTC 2025","passed","Sat Jun 28 20:47:49 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","294","test_add_to_cart_button_is_displayed[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:46 UTC 2025","passed","Sat Jun 28 20:45:46 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","29","test_guest_should_see_search_button[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:53 UTC 2025","passed","Sat Jun 28 20:44:53 UTC 2025","TestMainPage","test_main_page","",""
"","903","test_guest_can_add_promo_offer_product_to_basket[5-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:30 UTC 2025","passed","Sat Jun 28 20:46:31 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10547","test_guest_cant_see_product_in_basket_opened_from_product_page[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:47:06 UTC 2025","passed","Sat Jun 28 20:47:17 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","1659","test_guest_can_add_promo_offer_product_to_basket[0-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:01 UTC 2025","passed","Sat Jun 28 20:46:03 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","29","test_guest_should_see_login_link[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:51 UTC 2025","passed","Sat Jun 28 20:44:51 UTC 2025","TestMainPage","test_main_page","",""
"","878","test_guest_can_add_promo_offer_product_to_basket[1-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:09 UTC 2025","passed","Sat Jun 28 20:46:10 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","887","test_guest_can_add_promo_offer_product_to_basket[3-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:17 UTC 2025","passed","Sat Jun 28 20:46:18 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","829","test_guest_can_add_promo_offer_product_to_basket[0-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:00 UTC 2025","passed","Sat Jun 28 20:46:01 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","890","test_guest_can_add_promo_offer_product_to_basket[0-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:05 UTC 2025","passed","Sat Jun 28 20:46:06 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","847","test_guest_can_add_new_year_promo_product_to_basket[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:51 UTC 2025","passed","Sat Jun 28 20:45:51 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","728","test_delete_object","requests_library.restful_api.tests","Sat Jun 28 20:44:39 UTC 2025","passed","Sat Jun 28 20:44:40 UTC 2025","TestObjects","test_objects","",""
"","1131","test_guest_can_add_promo_offer_product_to_basket[6-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:34 UTC 2025","passed","Sat Jun 28 20:46:35 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10226","test_guest_cant_see_products_in_basket_opened_from_main_page[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:23 UTC 2025","passed","Sat Jun 28 20:45:34 UTC 2025","TestMainPage","test_main_page","",""
"","981","test_guest_can_add_promo_offer_product_to_basket[4-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:23 UTC 2025","passed","Sat Jun 28 20:46:24 UTC 2025","TestProductPageAsGuest","test_product_page","",""
